fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2026-05-01,baseline_var,deprec_fx,4.021694739783703,porcentaje,VAR multivariado,M3,2026-05-05
2026-05-01,baseline_var,embi,3.316284086881818,puntos_base,VAR multivariado,M3,2026-05-05
2026-06-01,baseline_var,crecimiento,4.014489222546229,porcentaje,VAR multivariado,M3,2026-05-05
2026-06-01,baseline_var,inflacion,4.838021731234759,porcentaje,VAR multivariado,M3,2026-05-05
2026-06-01,baseline_var,interbancaria,8.127041372966426,porcentaje,VAR multivariado,M3,2026-05-05
2026-06-01,baseline_var,deprec_fx,4.0333351628162255,porcentaje,VAR multivariado,M3,2026-05-05
2026-06-01,baseline_var,embi,3.5316248202344007,puntos_base,VAR multivariado,M3,2026-05-05
2026-07-01,baseline_var,crecimiento,3.8872668826227277,porcentaje,VAR multivariado,M3,2026-05-05
2026-07-01,baseline_var,inflacion,4.739031396764302,porcentaje,VAR multivariado,M3,2026-05-05
2026-07-01,baseline_var,interbancaria,8.207218044807387,porcentaje,VAR multivariado,M3,2026-05-05
2026-07-01,baseline_var,deprec_fx,4.03536147463509,porcentaje,VAR multivariado,M3,2026-05-05
2026-07-01,baseline_var,embi,3.706506237058827,puntos_base,VAR multivariado,M3,2026-05-05
2026-08-01,baseline_var,crecimiento,3.7802255985288093,porcentaje,VAR multivariado,M3,2026-05-05
2026-08-01,baseline_var,inflacion,4.637920249076171,porcentaje,VAR multivariado,M3,2026-05-05
2026-08-01,baseline_var,interbancaria,8.25161600548325,porcentaje,VAR multivariado,M3,2026-05-05
2026-08-01,baseline_var,deprec_fx,4.034072461303677,porcentaje,VAR multivariado,M3,2026-05-05
2026-08-01,baseline_var,embi,3.844467130089251,puntos_base,VAR multivariado,M3,2026-05-05
2026-09-01,baseline_var,crecimiento,3.6968101257571067,porcentaje,VAR multivariado,M3,2026-05-05
2026-09-01,baseline_var,inflacion,4.539451460186145,porcentaje,VAR multivariado,M3,2026-05-05
2026-09-01,baseline_var,interbancaria,8.26615973098799,porcentaje,VAR multivariado,M3,2026-05-05
2026-09-01,baseline_var,deprec_fx,4.032972286182364,porcentaje,VAR multivariado,M3,2026-05-05
2026-09-01,baseline_var,embi,3.949561718382791,puntos_base,VAR multivariado,M3,2026-05-05
2026-10-01,baseline_var,crecimiento,3.637535536450925,porcentaje,VAR multivariado,M3,2026-05-05
2026-10-01,baseline_var,inflacion,4.446996426710934,porcentaje,VAR multivariado,M3,2026-05-05
2026-10-01,baseline_var,interbancaria,8.256493641592684,porcentaje,VAR multivariado,M3,2026-05-05
2026-10-01,baseline_var,deprec_fx,4.033459369906266,porcentaje,VAR multivariado,M3,2026-05-05
2026-10-01,baseline_var,embi,4.0261019959957105,puntos_base,VAR multivariado,M3,2026-05-05
2026-11-01,baseline_var,crecimiento,3.6011635799259576,porcentaje,VAR multivariado,M3,2026-05-05
2026-11-01,baseline_var,inflacion,4.362747713203522,porcentaje,VAR multivariado,M3,2026-05-05
2026-11-01,baseline_var,interbancaria,8.227811952953362,porcentaje,VAR multivariado,M3,2026-05-05
2026-11-01,baseline_var,deprec_fx,4.035610238588456,porcentaje,VAR multivariado,M3,2026-05-05
2026-11-01,baseline_var,embi,4.078418510203952,puntos_base,VAR multivariado,M3,2026-05-05
