"","instrumento","fund","rate","year","month","file"
"93","Cuotas de Participación de Fondos de Inversión4","RESERVAS-R3",0.000829,2024,"Enero","tasas_2024_66.xlsx"
"94","Cuotas de Participación de Fondos de Inversión4","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"95","Cuotas de Participación de Fondos de Inversión4","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000826,2024,"Enero","tasas_2024_66.xlsx"
"96","Cuotas de Participación de Fondos de Inversión4","TOTAL_SISTEMA",0.00119139977513079,2024,"Enero","tasas_2024_66.xlsx"
"97","Cuotas de Participación de Fondos de Mutuos 6","ATLÁNTICO",0,2024,"Enero","tasas_2024_66.xlsx"
"98","Cuotas de Participación de Fondos de Mutuos 6","CRECER",0,2024,"Enero","tasas_2024_66.xlsx"
"99","Cuotas de Participación de Fondos de Mutuos 6","JMMB_BDI",-0.000209,2024,"Enero","tasas_2024_66.xlsx"
"100","Cuotas de Participación de Fondos de Mutuos 6","POPULAR",0,2024,"Enero","tasas_2024_66.xlsx"
"101","Cuotas de Participación de Fondos de Mutuos 6","RESERVAS",0,2024,"Enero","tasas_2024_66.xlsx"
"102","Cuotas de Participación de Fondos de Mutuos 6","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"103","Cuotas de Participación de Fondos de Mutuos 6","SIEMBRA",0,2024,"Enero","tasas_2024_66.xlsx"
"104","Cuotas de Participación de Fondos de Mutuos 6","TOTAL_CCI",-0.000209,2024,"Enero","tasas_2024_66.xlsx"
"105","Cuotas de Participación de Fondos de Mutuos 6","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"106","Cuotas de Participación de Fondos de Mutuos 6","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"107","Cuotas de Participación de Fondos de Mutuos 6","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Enero","tasas_2024_66.xlsx"
"108","Cuotas de Participación de Fondos de Mutuos 6","TOTAL_SISTEMA",-0.000209,2024,"Enero","tasas_2024_66.xlsx"
"109","Letras BCRD2","ATLÁNTICO",0,2024,"Enero","tasas_2024_66.xlsx"
"110","Letras BCRD2","CRECER",0,2024,"Enero","tasas_2024_66.xlsx"
"111","Letras BCRD2","JMMB_BDI",0,2024,"Enero","tasas_2024_66.xlsx"
"112","Letras BCRD2","POPULAR",0.001261,2024,"Enero","tasas_2024_66.xlsx"
"113","Letras BCRD2","RESERVAS",0,2024,"Enero","tasas_2024_66.xlsx"
"114","Letras BCRD2","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"115","Letras BCRD2","SIEMBRA",0,2024,"Enero","tasas_2024_66.xlsx"
"116","Letras BCRD2","TOTAL_CCI",0.001261,2024,"Enero","tasas_2024_66.xlsx"
"117","Letras BCRD2","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"118","Letras BCRD2","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"119","Letras BCRD2","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Enero","tasas_2024_66.xlsx"
"120","Letras BCRD2","TOTAL_SISTEMA",0.001261,2024,"Enero","tasas_2024_66.xlsx"
"121","Notas BCRD2","ATLÁNTICO",0.000706,2024,"Enero","tasas_2024_66.xlsx"
"122","Notas BCRD2","CRECER",0.000885,2024,"Enero","tasas_2024_66.xlsx"
"123","Notas BCRD2","JMMB_BDI",0.001097,2024,"Enero","tasas_2024_66.xlsx"
"124","Notas BCRD2","POPULAR",0.00101,2024,"Enero","tasas_2024_66.xlsx"
"125","Notas BCRD2","RESERVAS",0.000955,2024,"Enero","tasas_2024_66.xlsx"
"126","Notas BCRD2","ROMANA",0.000954,2024,"Enero","tasas_2024_66.xlsx"
"127","Notas BCRD2","SIEMBRA",0.001056,2024,"Enero","tasas_2024_66.xlsx"
"128","Notas BCRD2","TOTAL_CCI",0.000990809452612963,2024,"Enero","tasas_2024_66.xlsx"
"129","Notas BCRD2","RESERVAS-R3",0.001032,2024,"Enero","tasas_2024_66.xlsx"
"130","Notas BCRD2","BANCO_CENTRAL-R3",0.001177,2024,"Enero","tasas_2024_66.xlsx"
"131","Notas BCRD2","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000943,2024,"Enero","tasas_2024_66.xlsx"
"132","Notas BCRD2","TOTAL_SISTEMA",0.000996699418509804,2024,"Enero","tasas_2024_66.xlsx"
"133","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","ATLÁNTICO",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"134","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","CRECER",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"135","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","JMMB_BDI",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"136","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","POPULAR",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"137","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","RESERVAS",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"138","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"139","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","SIEMBRA",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"140","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","TOTAL_CCI",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"141","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"142","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
