"","date","fondo","rentabilidad"
"260",2005-06-01,"Popular","0.19219498658971901"
"261",2005-06-01,"Porvenir4","0"
"262",2005-06-01,"Reservas","0.22244808847033704"
"263",2005-06-01,"Romana","0.21790827966836734"
"264",2005-06-01,"Siembra","0.19262591034659748"
"265",2005-07-01,"Atlántico","0"
"266",2005-07-01,"Camino1","0"
"267",2005-07-01,"Caribalico2","0.20616888392822719"
"268",2005-07-01,"Crecer","0.18794135657268954"
"269",2005-07-01,"JMMB-BDI","0"
"270",2005-07-01,"León3","0.20526204459646435"
"271",2005-07-01,"Popular","0.18779126391672782"
"272",2005-07-01,"Porvenir4","0"
"273",2005-07-01,"Reservas","0.20594952181761816"
"274",2005-07-01,"Romana","0.20406177988636132"
"275",2005-07-01,"Siembra","0.17928097486957939"
"276",2005-08-01,"Atlántico","0"
"277",2005-08-01,"Camino1","0"
"278",2005-08-01,"Caribalico2","0.19312288227436958"
"279",2005-08-01,"Crecer","0.19143766607324708"
"280",2005-08-01,"JMMB-BDI","0"
"281",2005-08-01,"León3","0.19204520487386012"
"282",2005-08-01,"Popular","0.2118869267951522"
"283",2005-08-01,"Porvenir4","0"
"284",2005-08-01,"Reservas","0.19316463748080159"
"285",2005-08-01,"Romana","0.19093459977937699"
"286",2005-08-01,"Siembra","0.1843683537156966"
"287",2005-09-01,"Atlántico","0"
"288",2005-09-01,"Camino1","0"
"289",2005-09-01,"Caribalico2","0.18090897843588749"
"290",2005-09-01,"Crecer","0.19659705623903379"
"291",2005-09-01,"JMMB-BDI","0"
"292",2005-09-01,"León3","0.18039015527517877"
"293",2005-09-01,"Popular","0.20954099307742305"
"294",2005-09-01,"Porvenir4","0"
"295",2005-09-01,"Reservas","0.18146073787696282"
"296",2005-09-01,"Romana","0.18127811538421354"
"297",2005-09-01,"Siembra","0.18406676566378466"
"298",2005-10-01,"Atlántico","0"
"299",2005-10-01,"Camino1","0"
"300",2005-10-01,"Caribalico2","0.1733332938644141"
"301",2005-10-01,"Crecer","0.19555692136560876"
"302",2005-10-01,"JMMB-BDI","0"
"303",2005-10-01,"León3","0.17468251845408786"
"304",2005-10-01,"Popular","0.19750380254710898"
"305",2005-10-01,"Porvenir4","0"
"306",2005-10-01,"Reservas","0.17409996016517718"
"307",2005-10-01,"Romana","0.1767677359261397"
"308",2005-10-01,"Siembra","0.18163454323728304"
"309",2005-11-01,"Atlántico","0"
"310",2005-11-01,"Camino1","0"
"311",2005-11-01,"Caribalico2","0.1651371015046148"
"312",2005-11-01,"Crecer","0.19532666978772451"
"313",2005-11-01,"JMMB-BDI","0"
"314",2005-11-01,"León3","0.16622928064513975"
"315",2005-11-01,"Popular","0.19541438768557096"
"316",2005-11-01,"Porvenir4","0"
"317",2005-11-01,"Reservas","0.16536593395136645"
"318",2005-11-01,"Romana","0.16719845988282267"
"319",2005-11-01,"Siembra","0.18172505578935508"
"320",2005-12-01,"Atlántico","0"
"321",2005-12-01,"Camino1","0"
"322",2005-12-01,"Caribalico2","0.16422548553048366"
"323",2005-12-01,"Crecer","0.17889904206539331"
"324",2005-12-01,"JMMB-BDI","0"
"325",2005-12-01,"León3","0.16430841081119207"
"326",2005-12-01,"Popular","0.1701651173588079"
"327",2005-12-01,"Porvenir4","0"
"328",2005-12-01,"Reservas","0.16372280683513729"
"329",2005-12-01,"Romana","0.1649600698854701"
"330",2005-12-01,"Siembra","0.17016681497133868"
"331",2006-01-01,"Atlántico","0"
"332",2006-01-01,"Camino1","0"
"333",2006-01-01,"Caribalico2","0.1550371398775805"
"334",2006-01-01,"Crecer","0.16703375482165028"
"335",2006-01-01,"JMMB-BDI","0"
"336",2006-01-01,"León3","0.15520908717333426"
"337",2006-01-01,"Popular","0.1573822587135667"
"338",2006-01-01,"Porvenir4","0"
"339",2006-01-01,"Reservas","0.15422474133159847"
"340",2006-01-01,"Romana","0.15663804114006874"
"341",2006-01-01,"Siembra","0.15984290094199349"
"342",2006-02-01,"Atlántico","0"
"343",2006-02-01,"Camino1","0"
"344",2006-02-01,"Caribalico2","0.14701590855246893"
"345",2006-02-01,"Crecer","0.15949046934250966"
"346",2006-02-01,"JMMB-BDI","0"
"347",2006-02-01,"León3","0.1474151370636243"
"348",2006-02-01,"Popular","0.1496801901539857"
"349",2006-02-01,"Porvenir4","0"
"350",2006-02-01,"Reservas","0.14603223608837301"
"351",2006-02-01,"Romana","0.14951495576269735"
"352",2006-02-01,"Siembra","0.15174510621048243"
"353",2006-03-01,"Atlántico","0"
"354",2006-03-01,"Camino1","0"
"355",2006-03-01,"Caribalico2","0.13934996663799604"
"356",2006-03-01,"Crecer","0.14663476231204808"
"357",2006-03-01,"JMMB-BDI","0"
"358",2006-03-01,"León3","0.13896403682553893"
"359",2006-03-01,"Popular","0.13947241472359106"
"360",2006-03-01,"Porvenir4","0"
"361",2006-03-01,"Reservas","0.13629778455930919"
"362",2006-03-01,"Romana","0.14265097955171235"
"363",2006-03-01,"Siembra","0.14282306352841112"
"364",2006-04-01,"Atlántico","0"
"365",2006-04-01,"Camino1","0"
"366",2006-04-01,"Caribalico2","0.134180730480983"
"367",2006-04-01,"Crecer","0.13803967093597502"
"368",2006-04-01,"JMMB-BDI","0"
"369",2006-04-01,"León3","0.13375490783763877"
"370",2006-04-01,"Popular","0.13277550939274541"
"371",2006-04-01,"Porvenir4","0"
"372",2006-04-01,"Reservas","0.12869463652120494"
"373",2006-04-01,"Romana","0.13944932652506647"
"374",2006-04-01,"Siembra","0.13677026635827216"
"375",2006-05-01,"Atlántico","0"
"376",2006-05-01,"Camino1","0"
"377",2006-05-01,"Caribalico2","0.13228934497262768"
"378",2006-05-01,"Crecer","0.13373537486941345"
"379",2006-05-01,"JMMB-BDI","0"
"380",2006-05-01,"León3","0.13225221762228578"
"381",2006-05-01,"Popular","0.12955513165398003"
"382",2006-05-01,"Porvenir4","0"
"383",2006-05-01,"Reservas","0.12513121705212593"
"384",2006-05-01,"Romana","0.14049131670651738"
"385",2006-05-01,"Siembra","0.13466387757380538"
"386",2006-06-01,"Atlántico","0"
"387",2006-06-01,"Camino1","0"
"388",2006-06-01,"Caribalico2","0.14161074276826136"
"389",2006-06-01,"Crecer","0.13215138910682267"
"390",2006-06-01,"JMMB-BDI","0"
"391",2006-06-01,"León3","0.14412325737646614"
"392",2006-06-01,"Popular","0.12773870351843186"
"393",2006-06-01,"Porvenir4","0"
"394",2006-06-01,"Reservas","0.14208600813122629"
"395",2006-06-01,"Romana","0.14236045611470671"
"396",2006-06-01,"Siembra","0.13397553038581278"
"397",2006-07-01,"Atlántico","0"
"398",2006-07-01,"Camino1","0"
"399",2006-07-01,"Caribalico2","0.14475591728537629"
"400",2006-07-01,"Crecer","0.13159883921169779"
"401",2006-07-01,"JMMB-BDI","0"
"402",2006-07-01,"León3","0.14611047901596663"
"403",2006-07-01,"Popular","0.12777546642333881"
"404",2006-07-01,"Porvenir4","0"
"405",2006-07-01,"Reservas","0.14501466492337878"
"406",2006-07-01,"Romana","0.14404698003925787"
"407",2006-07-01,"Siembra","0.13427926848922467"
"408",2006-08-01,"Atlántico","0"
"409",2006-08-01,"Camino1","0"
"410",2006-08-01,"Caribalico2","0.14378300750430562"
"411",2006-08-01,"Crecer","0.1292991794709113"
"412",2006-08-01,"JMMB-BDI","0"
"413",2006-08-01,"León3","0.14489248225507478"
"414",2006-08-01,"Popular","0.12602000963077287"
"415",2006-08-01,"Porvenir4","0"
"416",2006-08-01,"Reservas","0.14310269732181435"
"417",2006-08-01,"Romana","0.14323277975395654"
"418",2006-08-01,"Siembra","0.13280169924293994"
"419",2006-09-01,"Atlántico","0"
"420",2006-09-01,"Camino1","0"
"421",2006-09-01,"Caribalico2","0.14171685795265265"
"422",2006-09-01,"Crecer","0.12592644267339792"
"423",2006-09-01,"JMMB-BDI","0"
"424",2006-09-01,"León3","0.13836426063320695"
"425",2006-09-01,"Popular","0.12225645331089785"
"426",2006-09-01,"Porvenir4","0"
"427",2006-09-01,"Reservas","0.13904640471941221"
"428",2006-09-01,"Romana","0.14033666649156751"
"429",2006-09-01,"Siembra","0.12815145849652065"
"430",2006-10-01,"Atlántico","0"
"431",2006-10-01,"Camino1","0"
"432",2006-10-01,"Caribalico2","0.13790578495712658"
"433",2006-10-01,"Crecer","0.12462278088570657"
"434",2006-10-01,"JMMB-BDI","0"
"435",2006-10-01,"León3","0.13747666864194885"
"436",2006-10-01,"Popular","0.1206001879958125"
"437",2006-10-01,"Porvenir4","0"
"438",2006-10-01,"Reservas","0.13491841732130117"
"439",2006-10-01,"Romana","0.1353963011045749"
"440",2006-10-01,"Siembra","0.126702256296233"
"441",2006-11-01,"Atlántico","0"
"442",2006-11-01,"Camino1","0"
"443",2006-11-01,"Caribalico2","0.13122848878595006"
"444",2006-11-01,"Crecer","0.12083079986631873"
"445",2006-11-01,"JMMB-BDI","0"
"446",2006-11-01,"León3","0.13075581210726184"
"447",2006-11-01,"Popular","0.11636508075152661"
"448",2006-11-01,"Porvenir4","0"
"449",2006-11-01,"Reservas","0.12776111901563714"
"450",2006-11-01,"Romana","0.12986885641730184"
"451",2006-11-01,"Siembra","0.12288334867458417"
"452",2006-12-01,"Atlántico","0"
"453",2006-12-01,"Camino1","0"
"454",2006-12-01,"Caribalico2","0.11778811860458926"
"455",2006-12-01,"Crecer","0.11618191763578523"
"456",2006-12-01,"JMMB-BDI","0"
"457",2006-12-01,"León3","0.11801834431899882"
"458",2006-12-01,"Popular","0.11169757770915666"
"459",2006-12-01,"Porvenir4","0"
"460",2006-12-01,"Reservas","0.11441505130789409"
"461",2006-12-01,"Romana","0.11774768321326"
"462",2006-12-01,"Siembra","0.11784380387111139"
"463",2007-01-01,"Atlántico","0"
"464",2007-01-01,"Camino1","0"
